,County,Ct
0,Chautauqua,4052
1,Cattaraugus,2705
2,Erie,1422
3,Allegany,1212
4,Genesee,501
5,Steuben,388
6,Wyoming,323
7,Cayuga,295
8,Seneca,212
9,Livingston,135
10,Schuyler,113
11,Ontario,62
12,Madison,49
13,Chenango,44
14,Yates,27
15,Tioga,24
16,Chemung,18
17,Wayne,4
18,Oswego,3
19,Cortland,2
20,Oneida,2
21,Niagara,1
22,Onondaga,1
