COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE,SURFACE LONGITUDE,SURFACE LATITUDE,VERIFIED LOCATION,REGION,Georeference
Unknown,Wyoming,Attica,31121100000000,Attica Well,UN,GD,-78.26576,42.810219,NO,9,POINT (-78.26576 42.810219)
Unknown,Oswego,Hastings,31075000000000,Rice Central Sq 1,UN,DW,-76.15222,43.29834,NO,7,POINT (-76.15222 43.29834)
Unknown,Ontario,Canandaigua City,31069000000000,Kornbau,UM,DW,-77.28817,42.87888,NO,8,POINT (-77.28817 42.87888)
Unknown,Allegany,Genesee,31003700000000,PPP 51,UN,NL,-78.21822,42.082203,NO,9,POINT (-78.21822 42.082203)
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,McKinley O-15,UL,OD,-77.70515,42.09535,NO,8,POINT (-77.70515 42.09535)
Unknown,Allegany,Alma,31003700000000,Balcerak G 10,UN,NL,-78.06236,42.063534,NO,9,POINT (-78.06236 42.063534)
Unknown,Cattaraugus,Allegany,31009700000000,KC 775,UN,NL,-78.53317,42.011856,NO,9,POINT (-78.53317 42.011856)
Unknown,Cattaraugus,Allegany,31009700000000,KC 148,UN,NL,-78.49542,42.004192,NO,9,POINT (-78.49542 42.004192)
Unknown,Allegany,Bolivar,31003700000000,Root K 32,UM,NL,-78.0769,42.06039,NO,9,POINT (-78.0769 42.06039)
Pennzoil Products Co.,Allegany,Bolivar,31003700000000,Ballard 98,UL,IW,-78.18623,42.08322,YES,9,POINT (-78.18623 42.08322)
B & B Oil,Allegany,Genesee,31003600000000,Fee U4,UL,NL,-78.19203,42.08342,YES,9,POINT (-78.19203 42.08342)
Unknown,Cattaraugus,Allegany,31009700000000,KC 906,UN,NL,-78.54147,42.003956,NO,9,POINT (-78.54147 42.003956)
Unknown,Cattaraugus,Allegany,31009700000000,KC 916,UN,NL,-78.54194,42.002914,NO,9,POINT (-78.54194 42.002914)
Unknown,Wayne,Wolcott,31117000000000,Wolcott Well,UL,GW,-76.81401,43.22137,YES,8,POINT (-76.81401 43.22137)
"Dobaj, Raymond",Erie,Eden,31029200000000,Edie 1,UL,GD,-78.86735,42.661631,YES,9,POINT (-78.86735 42.661631)
Unknown,Erie,Alden,31029000000000,Seabell Wm Staebel,UN,GD,-78.54719,42.90394,NO,9,POINT (-78.54719 42.90394)
Unknown,Chautauqua,Sheridan,31013000000000,Collins James 3,UM,GD,-79.19826,42.50033,NO,9,POINT (-79.19826 42.50033)
"BDH Oil, Inc.",Cattaraugus,Allegany,31009700000000,Nichols Run Ew-8,UL,OD,-78.55779,42.01775,YES,9,POINT (-78.55779 42.01775)
Unknown,Allegany,Wirt,31003700000000,Schamberger J 79,UM,NL,-78.18921,42.088066,NO,9,POINT (-78.18921 42.088066)
Unknown,Allegany,Bolivar,31003700000000,DF 59,UN,NL,-78.12665,42.041515,NO,9,POINT (-78.12665 42.041515)
Unknown,Allegany,Bolivar,31003700000000,PG 34,UM,NL,-78.07733,42.060787,NO,9,POINT (-78.07733 42.060787)
